"soloistinstrument","cleaname"
"Baritone","Franz Abt"
"Mens Chorus","Franz Abt"
"Vocalist","Franz Abt"
"Piano","Isidor Achron"
"Violin","Isidor Achron"
"Piano","Isidor Achron"
"Flute","Daniel Acosta"
"Percussion","Daniel Acosta"
"Violin","Daniel Acosta"
"Clarinet","Daniel Acosta"
"Contrabass","Daniel Acosta"
"Cello","Daniel Acosta"
"Soprano","Eva dell' Acqua"
"Soprano","Eva dell' Acqua"
"Boys Choir","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Bass","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Brass Quintet","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Brass Quintet","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Brass Quintet","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Boys Choir","Adolphe Charles Adam"
"Ensemble","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"Chorus","Adolphe Charles Adam"
"Boys Choir","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"Chorus","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Chorus","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Ensemble","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Brass Quintet","Adolphe Charles Adam"
"Ensemble","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Boys Choir","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Organ","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"French Horn","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Trombone","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Dancer","Adolphe Charles Adam"
"Brass Quintet","Adolphe Charles Adam"
"Tuba","Adolphe Charles Adam"
"Boys Choir","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Trumpet","Adolphe Charles Adam"
"Soprano","Adolphe Charles Adam"
"Piano","John Adams"
"Baritone","John Adams"
"Mezzo-Soprano","John Adams"
"Baritone","John Adams"
"Soprano","John Adams"
"Guest Orchestra","John Adams"
"Violin","John Adams"
"Piano","John Adams"
"Baritone","John Adams"
"Violin","John Adams"
"Baritone","John Adams"
"Baritone","John Adams"
"Chorus","John Adams"
"Soprano","John Adams"
"Baritone","John Adams"
"Chorus","John Adams"
"Baritone","John Adams"
"Children's Chorus","John Adams"
"Soprano","John Adams"
"Chorus","John Adams"
"Children's Chorus","John Adams"
"Piano","Richard Addinsell"
"Piano","Richard Addinsell"
"Piano","Richard Addinsell"
"Mezzo-Soprano","Thomas Ades"
"Trombone","Thomas Ades"
"Tuba","Thomas Ades"
"Chorus","Thomas Ades"
"Violin","Thomas Ades"
"Piano","Thomas Ades"
"Piano","Thomas Ades"
"Violin","Thomas Ades"
"Percussion","Thomas Ades"
"Clarinet","Thomas Ades"
"Trumpet","Thomas Ades"
"Piano","Thomas Ades"
"Violin","Thomas Ades"
"Contrabass","Thomas Ades"
"Piano","David Aizenstadt"
"Vocalist","David Aizenstadt"
"Vocalist","David Aizenstadt"
"Vocalist","David Aizenstadt"
"Chorus","David Aizenstadt"
"Piano","David Aizenstadt"
"Percussion","Andy Akiho"
"Orchestra","Andy Akiho"
"Percussion","Andy Akiho"
"Trumpet","Andy Akiho"
"Soprano","Alexander Alabieff"
"Soprano","Alexander Alabieff"
"Soprano","Alexander Alabieff"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Dancer","Lazaro del Alamo"
"Violin","Jean Delphin Alard"
"Dancer","Isaac Albeniz"
"Trumpet","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Piano","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Trumpet","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Trumpet","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Tuba","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Piano","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Orchestra","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Piano","Isaac Albeniz"
"Piano","Isaac Albeniz"
"French Horn","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"French Horn","Isaac Albeniz"
"Trombone","Isaac Albeniz"
"Guitar","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Piano","Isaac Albeniz"
"Trombone","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Trumpet","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Tuba","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Dancer","Isaac Albeniz"
"Piano","Isaac Albeniz"
"Piano","Isaac Albeniz"
"French Horn","Tomaso Albinoni"
"Trombone","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Trombone","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Trombone","Tomaso Albinoni"
"French Horn","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Trombone","Tomaso Albinoni"
"Trombone","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"French Horn","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"French Horn","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Tuba","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Brass Quintet","Tomaso Albinoni"
"Tuba","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Trumpet","Tomaso Albinoni"
"Tuba","Tomaso Albinoni"
"Ensemble","Tomaso Albinoni"
